Materials,location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
Ir,China,7.04E+04,4.98E-04,1.23E-02,5.01E+03,8.75E+01,3.96E+02,5.80E+03,2.91E+03,1.43E+03,3.27E-05,1.40E-03,1.55E+06,6.02E+05,1.56E+04,1.04E+06,3.52E+00
Ir,EU,7.04E+04,4.98E-04,1.23E-02,5.01E+03,8.75E+01,3.96E+02,5.80E+03,2.91E+03,1.43E+03,3.27E-05,1.40E-03,1.55E+06,6.02E+05,1.56E+04,1.04E+06,3.52E+00
Ir,US,7.04E+04,4.98E-04,1.23E-02,5.01E+03,8.75E+01,3.96E+02,5.80E+03,2.91E+03,1.43E+03,3.27E-05,1.40E-03,1.55E+06,6.02E+05,1.56E+04,1.04E+06,3.52E+00
Nafion_ionomer,China,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Nafion_ionomer,EU,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Nafion_ionomer,US,1.28E+02,3.69E-03,5.35E-07,7.27E-02,3.43E-03,7.99E-03,8.45E-02,8.53E-01,3.49E-02,1.45E-07,3.42E-07,1.10E+02,2.98E+01,5.70E+00,1.36E+02,2.70E-04
Solvents,China,0.221045225,3.67E-09,5.74E-08,0.005707659,4.18E-05,0.002065412,0.024686659,0.032572656,0.001167869,-3.30E-11,-1.68E-08,2.0318825,41.9492945,0.19312665,2.4500744,8.31E-07
Solvents,EU,0.221045225,3.67E-09,5.74E-08,0.005707659,4.18E-05,0.002065412,0.024686659,0.032572656,0.001167869,-3.30E-11,-1.68E-08,2.0318825,41.9492945,0.19312665,2.4500744,8.31E-07
Solvents,US,0.221045225,3.67E-09,5.74E-08,0.005707659,4.18E-05,0.002065412,0.024686659,0.032572656,0.001167869,-3.30E-11,-1.68E-08,2.0318825,41.9492945,0.19312665,2.4500744,8.31E-07
Ti_powder,China,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
Ti_powder,EU,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
Ti_powder,US,5.28E+01,1.06E-06,4.98E-06,3.06E-01,2.31E-02,5.13E-02,5.34E-01,2.78E+00,1.97E-01,1.88E-07,3.94E-07,2.04E+02,2.38E+02,8.91E+00,5.37E+02,2.40E-04
Gold_coating,China,5.02E+04,4.21E-04,3.48E-03,4.58E+02,1.76E+02,1.15E+02,1.36E+03,5.64E+03,3.32E+02,1.18E-04,3.35E-03,4.43E+06,4.72E+05,1.65E+04,6.51E+05,6.47E+01
Gold_coating,EU,5.02E+04,4.21E-04,3.48E-03,4.58E+02,1.76E+02,1.15E+02,1.36E+03,5.64E+03,3.32E+02,1.18E-04,3.35E-03,4.43E+06,4.72E+05,1.65E+04,6.51E+05,6.47E+01
Gold_coating,US,5.02E+04,4.21E-04,3.48E-03,4.58E+02,1.76E+02,1.15E+02,1.36E+03,5.64E+03,3.32E+02,1.18E-04,3.35E-03,4.43E+06,4.72E+05,1.65E+04,6.51E+05,6.47E+01
Carbon_cloth,China,2.41E+00,9.20E-08,2.92E-07,9.05E-03,1.19E-04,1.28E-03,1.38E-02,2.34E-02,1.19E-02,6.14E-09,1.00E-08,5.62E+00,5.62E+00,1.57E-01,7.91E+01,8.63E-06
Carbon_cloth,EU,2.41E+00,9.20E-08,2.92E-07,9.05E-03,1.19E-04,1.28E-03,1.38E-02,2.34E-02,1.19E-02,6.14E-09,1.00E-08,5.62E+00,5.62E+00,1.57E-01,7.91E+01,8.63E-06
Carbon_cloth,US,2.41E+00,9.20E-08,2.92E-07,9.05E-03,1.19E-04,1.28E-03,1.38E-02,2.34E-02,1.19E-02,6.14E-09,1.00E-08,5.62E+00,5.62E+00,1.57E-01,7.91E+01,8.63E-06
PPS-40%GF resin,China,3.84E+00,1.84E-07,2.05E-07,2.20E-02,9.09E-04,4.80E-03,4.74E-02,2.45E-01,2.51E-02,3.28E-09,1.12E-07,5.68E+01,1.59E+01,1.92E+00,6.28E+01,2.01E-04
PPS-40%GF resin,EU,3.84E+00,1.84E-07,2.05E-07,2.20E-02,9.09E-04,4.80E-03,4.74E-02,2.45E-01,2.51E-02,3.28E-09,1.12E-07,5.68E+01,1.59E+01,1.92E+00,6.28E+01,2.01E-04
PPS-40%GF resin,US,3.84E+00,1.84E-07,2.05E-07,2.20E-02,9.09E-04,4.80E-03,4.74E-02,2.45E-01,2.51E-02,3.28E-09,1.12E-07,5.68E+01,1.59E+01,1.92E+00,6.28E+01,2.01E-04
Stainless_steel_316L,China,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
